logFC	AveExpr	t	P.Value	adj.P.Val	B	
S100B	-1.487212749	1.515407291	-9.185135942	2.14E-18	1.86E-16	31.09190971
S100G	-1.283297092	0.481471292	-7.758823089	7.02E-14	2.60E-12	20.92033354
SLC22A17	-1.234559568	1.634732951	-7.365606957	9.93E-13	2.98E-11	18.33551157
MMP9	1.741990971	3.613045491	6.466663577	2.88E-10	5.41E-09	12.82023861
PLAU	1.800249402	4.191127191	8.919633059	1.62E-17	1.17E-15	29.10979866
MUC5AC	-1.256268396	3.41860837	-2.418685793	0.016015923	0.04523621	-4.05016445
LTF	-1.672015437	2.686371104	-3.833277879	0.000146514	0.000780594	0.232234419
FABP2	-1.423599813	1.10948882	-4.977132538	9.56E-07	8.74E-06	5.002587416
FABP4	-1.856677446	1.369025607	-7.800979468	5.25E-14	1.99E-12	21.20338336
RBP2	-2.456451142	1.595403634	-6.297249885	7.88E-10	1.37E-08	11.84533607
NOX1	1.097982979	1.245372462	4.196873413	3.33E-05	0.000211101	1.626069078
APOD	-1.147526854	4.219410914	-2.910703112	0.003804918	0.01336046	-2.770862964
CTSG	-1.017757167	0.6918031	-6.972879635	1.27E-11	3.09E-10	15.85674002
TFRC	1.295214595	4.548493347	7.158785623	3.84E-12	1.03E-10	17.01703525
IDO1	1.502808242	2.391341473	4.523642284	7.99E-06	5.90E-05	2.977095285
GDF15	2.668132999	4.64584386	10.39158322	1.39E-22	3.18E-20	40.55374629
STAT1	1.402067059	5.573853099	8.347624071	1.11E-15	5.77E-14	24.97395333
CCL20	1.639845071	4.101079257	4.312851472	2.03E-05	0.00013498	2.095026387
PGC	-2.490950746	5.764356672	-3.351661169	0.000878625	0.003761845	-1.432413219
ISG15	1.252432717	5.695003474	5.250610848	2.45E-07	2.56E-06	6.306599776
F2R	1.577820358	4.115755465	9.708138297	3.57E-20	4.47E-18	35.10541482
LYZ	1.082982416	8.577824286	2.65159666	0.008325101	0.026067338	-3.472997312
CSRP1	-1.373736521	4.796032498	-6.56295808	1.61E-10	3.18E-09	13.38372818
TPM2	-1.512521017	5.201442394	-5.174309225	3.60E-07	3.63E-06	5.936627657
AHNAK	-1.073459512	5.210928025	-6.206330574	1.34E-09	2.24E-08	11.33088666
MSR1	1.162069648	1.838403741	7.134643253	4.49E-12	1.19E-10	16.86501569
DES	-3.633825304	5.456194425	-6.26182061	9.70E-10	1.66E-08	11.64413482
TNFRSF10A	1.023477292	2.768898843	8.298477776	1.58E-15	7.92E-14	24.62750307
TNFRSF10B	1.43382602	3.730217435	11.38990349	2.88E-26	1.75E-23	48.88377449
CLDN4	2.362313923	5.995402918	9.249049239	1.31E-18	1.17E-16	31.57473637
PDGFRB	1.402476319	4.389967624	7.479847762	4.65E-13	1.48E-11	19.07605264
BIRC5	1.540043254	3.053039866	9.355216273	5.74E-19	5.67E-17	32.38154368
UNC93B1	1.061843743	4.565449681	6.947407866	1.49E-11	3.58E-10	15.69962202
CCL18	1.414363473	3.532089535	4.179702951	3.58E-05	0.00022492	1.557634495
CCL21	-2.050557467	4.378150609	-5.770550498	1.57E-08	2.11E-07	8.951781824
CCL3	1.027436031	1.648661977	5.665433825	2.78E-08	3.55E-07	8.399776321
CDH1	1.127581166	5.757143182	4.659992313	4.30E-06	3.39E-05	3.567890941
OLR1	1.347341958	1.608021899	7.655463425	1.42E-13	4.96E-12	20.23115739
CD79A	-1.07892725	3.500220253	-2.894885347	0.003997847	0.013944906	-2.815527597
LYN	1.151400953	3.873970566	8.26016271	2.08E-15	1.02E-13	24.35840939
VAV2	1.25723326	3.585951491	10.00705489	3.24E-21	5.09E-19	37.46106907
FOS	-1.05778777	6.105553117	-4.258206822	2.56E-05	0.000167099	1.872615662
IFITM1	1.182517957	6.548873426	4.874916203	1.56E-06	1.36E-05	4.531002214
IGHA1	-1.7204149	9.116091015	-3.28831226	0.001095772	0.004568939	-1.635713231
IGHA2	-1.858230418	6.609021233	-3.53398819	0.000456464	0.002117221	-0.826866816
IGHG1	1.863421959	7.617846082	4.474374278	9.97E-06	7.17E-05	2.767514814
IGHG4	1.804280314	6.090444019	4.161131728	3.87E-05	0.000241198	1.483906597
IGHJ1	-1.061729598	1.206053648	-4.192303478	3.39E-05	0.000214705	1.607830043
IGHJ2	-1.100938096	2.014026869	-3.364258192	0.000840528	0.00362157	-1.391549339
IGHM	-1.186118847	6.331180682	-2.390314371	0.017289271	0.048189263	-4.116955214
IGHV1-45	-1.160291904	1.129278836	-5.013853395	7.99E-07	7.45E-06	5.174115095
IGHV2-5	-1.141602373	2.718934501	-3.131400328	0.001865739	0.007226197	-2.123416189
IGHV3-20	-1.34574166	2.575507629	-3.768761853	0.000188391	0.000976697	-0.002859133
IGHV3-35	-1.738659716	1.098540692	-8.002008073	1.30E-14	5.47E-13	22.56857566
IGHV3-38	-1.227349318	0.74411273	-7.391412649	8.37E-13	2.55E-11	18.50203477
IGHV3-43	-1.04297083	2.653406961	-2.834609706	0.004817497	0.016375338	-2.983586705
IGHV3-53	-1.083737304	3.29689325	-2.793938652	0.005453845	0.018222239	-3.095064887
IGHV3-64	-1.133794567	1.858480089	-3.634074977	0.000314808	0.001528286	-0.481647256
IGHV3-66	-1.104858151	2.547992189	-3.189346376	0.001536625	0.006125414	-1.945950762
IGHV3-7	-1.235724896	2.887688204	-3.295969438	0.001067102	0.004465661	-1.611334906
IGHV3-72	-1.520722501	2.848001043	-4.014959915	7.08E-05	0.000412076	0.914147103
IGHV4-28	-1.314853707	2.93195693	-3.699395739	0.000245888	0.001232119	-0.251475835
IGHV6-1	-1.339612517	1.772291571	-4.240701337	2.76E-05	0.000178919	1.801913935
IGKJ5	-1.002984199	2.580095438	-2.99527684	0.002910049	0.010625535	-2.528097423
IGKV1-13	-1.308393273	1.059330296	-5.827390834	1.15E-08	1.59E-07	9.253850352
IGKV1-17	-1.821860584	4.086310316	-3.90772495	0.000109143	0.000602318	0.508121653
IGKV1-33	-1.991531525	1.867958773	-6.559306572	1.65E-10	3.24E-09	13.36223785
IGKV1-39	-1.711311531	2.759879231	-4.68103602	3.90E-06	3.10E-05	3.660475905
IGKV1-6	-1.226640783	3.969981244	-2.824295242	0.004972157	0.016817828	-3.012004916
IGKV1-9	-1.286902173	4.605679597	-2.846642308	0.004642603	0.015864899	-2.95030894
IGKV1D-12	-1.72682431	1.501031495	-6.532089819	1.95E-10	3.76E-09	13.20236234
IGKV1D-13	-1.032032385	1.838024014	-3.184791735	0.001560408	0.006205391	-1.960011863
IGKV1D-16	-1.216451483	2.202677954	-3.852690443	0.000135747	0.00072982	0.303698989
IGKV1D-17	-1.34694124	1.145018018	-6.031948905	3.65E-09	5.59E-08	10.36151601
IGKV1D-33	-2.023087209	1.708989068	-6.67256031	8.27E-11	1.71E-09	14.03324567
IGKV1D-39	-1.867194294	2.571956772	-5.106497684	5.06E-07	4.93E-06	5.611802241
IGKV1D-42	-1.737304632	0.719078307	-9.258664794	1.21E-18	1.09E-16	31.64756406
IGKV1D-43	-1.13670255	1.025344181	-4.866077117	1.63E-06	1.41E-05	4.4906301
IGKV1D-8	-1.647709926	2.018034144	-5.513057314	6.29E-08	7.41E-07	7.614982564
IGKV2-24	-1.209893363	3.527315728	-2.914402484	0.00376104	0.01323584	-2.760383374
IGKV2-28	-1.865022829	1.737637351	-6.437578994	3.43E-10	6.35E-09	12.65137105
IGKV2-30	-1.549988158	3.139084538	-3.913963169	0.00010646	0.000589352	0.531462804
IGKV2-40	-1.015818076	0.416699185	-8.108537967	6.13E-15	2.76E-13	23.30222667
IGKV2D-24	-1.318882725	1.294117312	-5.345873654	1.50E-07	1.64E-06	6.775126539
IGKV2D-28	-1.86903573	1.508977385	-6.781055784	4.23E-11	9.29E-10	14.68466881
IGKV2D-29	-1.76633133	2.837854903	-4.573618511	6.38E-06	4.84E-05	3.191804749
IGKV2D-30	-2.041106123	1.218197793	-8.134951693	5.08E-15	2.32E-13	23.48521229
IGKV2D-40	-1.164767981	1.683166074	-3.612435675	0.000341387	0.001641892	-0.557051434
IGKV3-7	-1.73431061	1.471960084	-6.742596751	5.37E-11	1.16E-09	14.45279711
IGKV3D-11	-1.512325658	2.1246134	-5.017415954	7.85E-07	7.34E-06	5.190815466
IGKV3D-15	-1.722989095	2.111735603	-5.544208324	5.33E-08	6.39E-07	7.773930975
IGKV3D-20	-1.513963547	3.303223297	-3.749634696	0.000202831	0.001042856	-0.07184333
IGKV3D-7	-1.727054479	0.825807237	-8.589960146	1.89E-16	1.12E-14	26.70313555
IGKV6-21	-1.560408016	2.178000403	-4.46716898	1.03E-05	7.39E-05	2.737038332
IGKV6D-21	-1.350329307	1.377448536	-4.500533742	8.87E-06	6.46E-05	2.878535832
IGLC6	-1.075672044	1.248585473	-5.186053598	3.40E-07	3.44E-06	5.993265748
IGLC7	-1.362083758	2.998299623	-3.335077047	0.000931233	0.003960367	-1.485989898
IGLV1-36	-1.260473608	2.347614215	-3.629467311	0.000320299	0.001550817	-0.497738446
IGLV1-50	-1.721942557	1.138708185	-8.025888632	1.10E-14	4.71E-13	22.73242724
IGLV10-54	-1.319011461	2.908623881	-3.182864228	0.001570575	0.006237326	-1.965956718
IGLV2-18	-1.754377832	2.422990559	-4.903360285	1.37E-06	1.21E-05	4.661360673
IGLV2-33	-1.118540559	0.47477481	-8.304631572	1.51E-15	7.61E-14	24.67080437
IGLV2-8	-1.458793396	3.99345874	-3.423481494	0.000681165	0.003005	-1.197492777
IGLV3-1	-1.122297357	4.6607982	-2.510383828	0.012448143	0.036521266	-3.829062679
IGLV3-10	-1.425665391	4.170003014	-3.070929328	0.002277545	0.008595374	-2.305308612
IGLV3-16	-1.602739383	1.423551806	-6.408027838	4.09E-10	7.45E-09	12.48042846
IGLV3-27	-1.358601997	2.631481973	-3.428432811	0.000669206	0.002960296	-1.181124076
IGLV3-9	-1.277892373	2.967734499	-3.115687102	0.001965574	0.007562998	-2.171005498
IGLV4-3	-1.729956264	0.75552626	-8.238091513	2.44E-15	1.17E-13	24.20380014
IGLV4-69	-1.442028111	4.198659853	-3.22236855	0.001373965	0.005556287	-1.843433562
IGLV5-37	-1.254981896	1.162922251	-4.474667728	9.95E-06	7.16E-05	2.768756973
IGLV5-45	-1.276060199	2.655554094	-3.386191525	0.000777842	0.003385202	-1.320053416
IGLV6-57	-1.249050314	4.553528833	-2.748066841	0.006262231	0.020461578	-3.218937982
IGLV7-43	-1.799123353	3.130803668	-4.337049528	1.82E-05	0.00012311	2.194341425
IGLV7-46	-1.789806487	3.726368335	-3.975850477	8.30E-05	0.000473424	0.764889168
IGLV8-61	-1.482939762	3.527325512	-3.24161881	0.001286651	0.005249	-1.783208557
IGLV9-49	-1.443944595	2.233301882	-3.841964605	0.0001416	0.000758216	0.264171892
CXCL17	-2.26133077	3.931680859	-4.399629723	1.39E-05	9.65E-05	2.453530312
EDN3	-1.058498628	1.29943322	-4.905783627	1.35E-06	1.19E-05	4.672497891
SEMA4G	1.055948746	3.520098461	5.409811961	1.08E-07	1.21E-06	7.093686542
TYMP	1.223978364	4.749398582	6.077273849	2.82E-09	4.41E-08	10.61126671
ACKR1	-1.962504374	2.662931374	-7.048639454	7.81E-12	1.98E-10	16.32670868
PLAUR	1.254798908	3.925840756	6.816411764	3.39E-11	7.64E-10	14.89875577
PLXNA1	1.167026571	3.312854913	9.763927934	2.29E-20	2.98E-18	35.5417552
AGT	1.413418066	3.69856036	4.794755122	2.29E-06	1.93E-05	4.167256196
APLN	1.245737029	1.588679547	6.671616831	8.31E-11	1.72E-09	14.02761768
BMP1	1.162426892	2.806866932	10.46823286	7.33E-23	1.74E-20	41.17829602
BMP8A	1.044371271	1.520340133	7.788315366	5.73E-14	2.16E-12	21.11823417
CHGA	-2.813008163	1.742808311	-7.382387409	8.89E-13	2.69E-11	18.44374484
CMTM8	1.007836551	3.780723594	6.803931826	3.67E-11	8.17E-10	14.82308661
DKK1	1.090272806	1.842641553	3.010112021	0.002774586	0.010194432	-2.484827874
ESM1	1.582589874	1.58670771	9.578784527	9.95E-20	1.14E-17	34.09969554
FAM3B	-1.415153199	2.459163115	-4.705052136	3.49E-06	2.81E-05	3.766595261
FAM3D	-1.210263634	4.116198157	-3.087165091	0.002159464	0.0082081	-2.256804692
GAST	-1.134327631	1.172426103	-2.768915312	0.005882276	0.019419227	-3.162883062
GHRL	-1.656910221	1.057334561	-7.05426893	7.54E-12	1.92E-10	16.3617888
GIP	-1.866943717	0.498448134	-10.54028395	4.02E-23	9.95E-21	41.76775731
GKN1	-5.48448293	3.122310088	-8.171041461	3.93E-15	1.83E-13	23.7359191
GREM2	-1.071790227	1.257984789	-5.29628735	1.94E-07	2.07E-06	6.530334561
IL36A	-1.22841624	0.307155586	-5.536941836	5.54E-08	6.61E-07	7.736784891
IL32	1.340308283	5.217753529	6.005755942	4.23E-09	6.40E-08	10.21789761
INHBA	2.288994205	2.721236308	11.17481847	1.85E-25	8.44E-23	47.05462419
LIF	1.665746024	2.567004884	9.469951484	2.34E-19	2.49E-17	33.26008583
MDK	1.562761573	6.593902062	6.954609891	1.42E-11	3.44E-10	15.74400067
NPPC	-1.027325866	0.425780265	-9.538773027	1.36E-19	1.52E-17	33.79031792
OGN	-1.58105639	2.331502778	-4.524491227	7.96E-06	5.88E-05	2.980724762
PTN	-1.724947233	2.245885414	-8.697134127	8.56E-17	5.41E-15	27.47875741
SLURP1	-1.293368506	0.484455551	-4.683024788	3.86E-06	3.07E-05	3.669245137
SPP1	2.880166007	4.646225868	7.884346541	2.95E-14	1.18E-12	21.766451
SST	-3.014344799	1.752230995	-7.991671534	1.40E-14	5.84E-13	22.49776328
TNFRSF11B	1.264448483	1.728317827	5.301589776	1.89E-07	2.02E-06	6.556416349
VIP	-1.659717205	0.939880485	-6.749271852	5.15E-11	1.12E-09	14.49296641
ADRB2	-1.04594785	0.686786522	-11.21174548	1.35E-25	6.24E-23	47.36737703
ANGPTL1	-1.811494943	1.246915649	-7.873263917	3.19E-14	1.26E-12	21.69134523
CNTFR	-1.489137629	1.080237675	-6.789027179	4.02E-11	8.89E-10	14.73285993
ESRRG	-1.153469561	0.383533606	-11.31525032	5.50E-26	3.03E-23	48.24686326
FGFR4	1.957578064	3.615411695	8.475852298	4.37E-16	2.43E-14	25.88463129
GPER1	-1.223742538	1.013309276	-8.235615667	2.48E-15	1.19E-13	24.1864751
HNF4A	1.657116139	4.030763002	7.214862588	2.67E-12	7.37E-11	17.37167073
HNF4G	1.15242735	3.081767611	5.342999417	1.53E-07	1.66E-06	6.760883289
IL17RB	1.587795913	2.844771741	9.105632589	3.94E-18	3.22E-16	30.4943613
LGR5	1.284746516	1.834065506	4.889183199	1.46E-06	1.28E-05	4.596303322
MET	1.739563619	3.942593936	8.706980491	7.96E-17	5.06E-15	27.55034571
OSMR	1.159004122	3.445139241	6.595091023	1.33E-10	2.66E-09	13.57325647
TGFBR3	-1.018653931	2.225273812	-5.569971681	4.65E-08	5.64E-07	7.905969068
TNFRSF12A	1.451190619	4.804099543	7.652365323	1.45E-13	5.06E-12	20.21060608
TNFRSF17	-1.226546795	1.315858214	-6.056200311	3.18E-09	4.92E-08	10.49495313
FCGR3A	1.908604606	3.496089782	7.993972243	1.37E-14	5.76E-13	22.51351898
BID	1.138473832	3.104068248	10.90284037	1.90E-24	6.44E-22	44.7679853
CBLC	1.109563368	4.827031642	5.502607929	6.64E-08	7.80E-07	7.56183678
